samples,acc,prec,rec,threshold
173270,0.963,0.9814241486068112,0.9620637329286799,0.25
174270,0.955,0.9767080745341615,0.9544764795144158,0.25
175270,0.973,0.9908256880733946,0.968609865470852,0.25
176270,0.973,0.9921996879875195,0.9665653495440729,0.25
177270,0.965,0.9774096385542169,0.9701046337817638,0.25
178270,0.953,0.9725190839694656,0.9564564564564565,0.25
179270,0.921,0.9684065934065934,0.926412614980289,0.25
180270,0.974,0.985981308411215,0.9738461538461538,0.25
181270,0.965,0.995398773006135,0.9530102790014684,0.25
182270,0.965,0.9922600619195047,0.9552906110283159,0.25
183270,0.981,0.9954954954954955,0.9764359351988218,0.25
184270,0.959,0.9936,0.9437689969604863,0.25
185270,0.963,0.9965694682675815,0.9431818181818182,0.25
186270,0.98,0.9953775038520801,0.9743589743589743,0.25
187270,0.968,0.9922118380062306,0.9593373493975904,0.25
188270,0.956,0.9694656488549618,0.9635811836115327,0.25
189270,0.964,0.9842022116903634,0.9599383667180277,0.25
190270,0.954,0.9670014347202296,0.9670014347202296,0.25
191270,0.946,0.9601706970128022,0.9629101283880172,0.25
192270,0.868,0.9881656804733728,0.8434343434343434,0.25
193270,0.764,0.9903100775193798,0.6886792452830188,0.25
194270,0.845,0.9981981981981982,0.7824858757062146,0.25
195270,0.823,0.9897959183673469,0.7382039573820396,0.25
196270,0.856,0.9964285714285714,0.7971428571428572,0.25
197270,0.871,0.9952904238618524,0.8342105263157895,0.25
198270,0.996,0.9989868287740629,0.9969666329625885,0.25
199270,0.998,1.0,0.9979859013091642,0.25
200270,0.932,0.9974968710888611,0.9235225955967555,0.25
201270,0.801,1.0,0.7590799031476998,0.25
202270,0.877,1.0,0.825531914893617,0.25
203270,0.892,0.9966777408637874,0.8498583569405099,0.25
204270,0.893,0.9905660377358491,0.8618331053351573,0.25
205270,0.921,0.9948542024013722,0.8841463414634146,0.25
206270,0.908,0.9896729776247849,0.869894099848714,0.25
207270,0.914,0.9963302752293578,0.8660287081339713,0.25
208270,0.871,0.998533724340176,0.8417799752781211,0.25
209270,0.896,0.9969924812030075,0.8666666666666667,0.25
210270,0.89,0.9949409780775716,0.8464849354375896,0.25
211270,0.891,0.9983606557377049,0.8493723849372385,0.25
212270,0.923,0.9984276729559748,0.8931082981715893,0.25
213270,0.921,0.9984301412872841,0.8907563025210085,0.25
214270,0.9,0.9956268221574344,0.8756410256410256,0.25
215270,0.801,0.9896907216494846,0.712166172106825,0.25
216270,0.846,1.0,0.8072590738423029,0.25
217270,0.908,1.0,0.8707865168539326,0.25
218270,0.923,0.9908256880733946,0.8823529411764706,0.25
219270,0.939,0.9962894248608535,0.9010067114093959,0.25
220270,0.925,0.9964285714285714,0.884310618066561,0.25
221270,0.931,0.9947826086956522,0.896551724137931,0.25
222270,0.902,1.0,0.868632707774799,0.25
223270,0.917,0.9946524064171123,0.8746081504702194,0.25
224270,0.871,0.9876796714579056,0.7963576158940397,0.25
225270,0.872,0.99,0.8009708737864077,0.25
226270,0.949,0.9910714285714286,0.9234608985024958,0.25
227270,0.91,0.9985250737463127,0.8838120104438643,0.25
228270,0.949,0.9959758551307847,0.9099264705882353,0.25
229270,0.953,0.9935897435897436,0.9135559921414538,0.25
230270,0.95,0.99,0.9166666666666666,0.25
231270,0.949,0.9884615384615385,0.9194991055456172,0.25
232270,0.919,0.9970414201183432,0.8950863213811421,0.25
233270,0.926,0.9879275653923542,0.8783542039355993,0.25
234270,0.939,0.9940828402366864,0.896797153024911,0.25
235270,0.953,0.9880715705765407,0.9237918215613383,0.25
236270,0.945,0.9949579831932773,0.9192546583850931,0.25
237270,0.954,0.9954337899543378,0.9383070301291249,0.25
238270,0.914,0.9879759519038076,0.8603839441535777,0.25
239270,0.94,0.9948979591836735,0.9112149532710281,0.25
240270,0.95,0.9925373134328358,0.9204152249134948,0.25
241270,0.942,0.9923224568138196,0.9054290718038529,0.25
242270,0.954,0.9966887417218543,0.9318885448916409,0.25
243270,0.955,0.9957983193277311,0.9168278529980658,0.25
244270,0.943,0.9918864097363083,0.9022140221402214,0.25
245270,0.951,0.9909420289855072,0.9255499153976311,0.25
246270,0.945,0.9934065934065934,0.8968253968253969,0.25
247270,0.904,0.9964664310954063,0.8571428571428571,0.25
248270,0.907,0.9882629107981221,0.8271119842829077,0.25
249270,0.952,0.9910313901345291,0.9094650205761317,0.25
250270,0.945,0.9883040935672515,0.9118705035971223,0.25
251270,0.94,0.9964285714285714,0.9058441558441559,0.25
252270,0.909,0.9959266802443992,0.8460207612456747,0.25
253270,0.871,0.9956427015250545,0.7825342465753424,0.25
254270,0.857,0.9915966386554622,0.7725040916530278,0.25
255270,0.859,0.9856801909307876,0.7536496350364964,0.25
256270,0.872,1.0,0.8234482758620689,0.25
257270,0.915,1.0,0.8768115942028986,0.25
258270,0.93,0.9964028776978417,0.8906752411575563,0.25
259270,0.924,0.9954887218045113,0.9006802721088435,0.25
260270,0.944,0.9984962406015038,0.9235048678720446,0.25
261270,0.93,0.9968,0.9015918958031838,0.25
262270,0.912,0.9984825493171472,0.8832214765100671,0.25
263270,0.916,0.9970631424375918,0.8922470433639947,0.25
264270,0.919,0.9966216216216216,0.8819133034379671,0.25
265270,0.939,0.9922239502332815,0.9193083573487032,0.25
266270,0.909,0.9907120743034056,0.8827586206896552,0.25
267270,0.9371833839918946,0.9922118380062306,0.9178674351585014,0.25
0,1.0,0.0,0.0,0.5
10,0.55,0.0,0.0,0.5
30,0.9,1.0,0.7647058823529411,0.5
70,0.825,1.0,0.5882352941176471,0.5
150,0.85,1.0,0.5636363636363636,0.5
310,0.8875,1.0,0.6896551724137931,0.5
630,0.9234375,1.0,0.776255707762557,0.5
1270,0.919,1.0,0.779891304347826,0.5
2270,0.95,1.0,0.8563218390804598,0.5
3270,0.951,1.0,0.8579710144927536,0.5
4270,0.959,1.0,0.8825214899713467,0.5
5270,0.973,1.0,0.9224137931034483,0.5
6270,0.974,1.0,0.9273743016759777,0.5
7270,0.98,0.997134670487106,0.9482288828337875,0.5
8270,0.974,1.0,0.9248554913294798,0.5
9270,0.978,1.0,0.9382022471910112,0.5
10270,0.752,0.9957264957264957,0.48541666666666666,0.5
11270,0.651,0.9967213114754099,0.4662576687116564,0.5
12270,0.73,0.9946236559139785,0.5799373040752351,0.5
13270,0.772,0.99,0.6387096774193548,0.5
14270,0.817,0.9955849889624724,0.7136075949367089,0.5
15270,0.818,0.9916492693110647,0.7274119448698315,0.5
16270,0.841,0.9979674796747967,0.7565485362095532,0.5
17270,0.87,0.9941634241245136,0.8009404388714734,0.5
18270,0.883,0.9961089494163424,0.8165869218500797,0.5
19270,0.898,0.998062015503876,0.836038961038961,0.5
20270,0.898,0.9908592321755028,0.8482003129890454,0.5
21270,0.903,0.9964221824686941,0.8542944785276073,0.5
22270,0.922,0.9982425307557118,0.8806201550387597,0.5
23270,0.95,0.9964601769911504,0.9214402618657938,0.5
24270,0.956,0.9982935153583617,0.9315286624203821,0.5
25270,0.964,0.9950576606260296,0.9481946624803768,0.5
26270,0.962,0.9935897435897436,0.9480122324159022,0.5
27270,0.971,0.9948186528497409,0.9568106312292359,0.5
28270,0.975,0.9966216216216216,0.9624796084828712,0.5
29270,0.978,1.0,0.9656786271450858,0.5
30270,0.977,0.9937205651491365,0.9708588957055214,0.5
31270,0.971,0.9936708860759493,0.9617151607963247,0.5
32270,0.977,0.9935064935064936,0.9698890649762282,0.5
33270,0.98,0.9966101694915255,0.9702970297029703,0.5
34270,0.981,0.9968253968253968,0.9736434108527132,0.5
35270,0.981,0.996694214876033,0.9725806451612903,0.5
36270,0.972,0.9889589905362776,0.9675925925925926,0.5
37270,0.987,0.9952830188679245,0.9844479004665629,0.5
38270,0.983,0.9952456418383518,0.9781931464174455,0.5
39270,0.99,0.9951298701298701,0.9887096774193549,0.5
40270,0.986,0.9904306220095693,0.9872813990461049,0.5
41270,0.989,0.9952076677316294,0.9873217115689382,0.5
42270,0.991,0.9983525535420099,0.9869706840390879,0.5
43270,0.99,0.9984326018808778,0.9860681114551083,0.5
44270,0.989,0.9935691318327974,0.9888,0.5
45270,0.994,0.9967689822294022,0.9935587761674718,0.5
46270,0.987,0.9892141756548536,0.9907407407407407,0.5
47270,0.991,0.9984202211690363,0.9875,0.5
48270,0.985,0.9870967741935484,0.9886914378029079,0.5
49270,0.993,0.9968701095461658,0.9922118380062306,0.5
50270,0.985,0.9872,0.9887820512820513,0.5
51270,0.996,0.998389694041868,0.9951845906902087,0.5
52270,0.991,0.9954268292682927,0.9908952959028832,0.5
53270,0.984,0.9902120717781403,0.9837925445705025,0.5
54270,0.989,0.9889937106918238,0.9936808846761453,0.5
55270,0.993,0.9940298507462687,0.9955156950672646,0.5
56270,0.987,0.9919484702093397,0.9871794871794872,0.5
57270,0.993,0.9936507936507937,0.9952305246422893,0.5
58270,0.987,0.9903536977491961,0.9887640449438202,0.5
59270,0.995,0.9953846153846154,0.9969183359013868,0.5
60270,0.99,0.9887820512820513,0.9951612903225806,0.5
61270,0.993,0.9951845906902087,0.9935897435897436,0.5
62270,0.967,0.986764705882353,0.9654676258992806,0.5
63270,0.976,0.9855595667870036,0.9855595667870036,0.5
64270,0.973,0.9963985594237695,0.9718969555035128,0.5
65270,0.967,0.9888475836431226,0.9708029197080292,0.5
66270,0.977,0.9854497354497355,0.9841479524438573,0.5
67270,0.966,0.9802890932982917,0.9751633986928104,0.5
68270,0.982,0.9887920298879203,0.9887920298879203,0.5
69270,0.965,0.9723756906077348,0.9791376912378303,0.5
70270,0.982,0.9912280701754386,0.986284289276808,0.5
71270,0.976,0.9813200498132005,0.9887076537013801,0.5
72270,0.964,0.969208211143695,0.977810650887574,0.5
73270,0.969,0.9705882352941176,0.9857752489331437,0.5
74270,0.95,0.9606986899563319,0.9663250366032211,0.5
75270,0.962,0.9608865710560626,0.9892617449664429,0.5
76270,0.963,0.9548660084626234,0.9926686217008798,0.5
77270,0.932,0.9064856711915535,0.9901153212520593,0.5
78270,0.952,0.9544159544159544,0.9766763848396501,0.5
79270,0.954,0.9362745098039216,0.9879310344827587,0.5
80270,0.96,0.9479166666666666,0.9820143884892086,0.5
81270,0.961,0.9404990403071017,0.9839357429718876,0.5
82270,0.966,0.9506172839506173,0.9889908256880734,0.5
83270,0.956,0.9328859060402684,0.9675174013921114,0.5
84270,0.973,0.9563492063492064,0.9897330595482546,0.5
85270,0.96,0.9367396593673966,0.9649122807017544,0.5
86270,0.976,0.9559902200488998,0.9848866498740554,0.5
87270,0.953,0.8794642857142857,0.9078341013824884,0.5
88270,0.92,0.34444444444444444,0.5961538461538461,0.5
89270,0.93,0.7039106145251397,0.8811188811188811,0.5
90270,0.955,0.8035714285714286,0.9183673469387755,0.5
91270,0.956,0.8450704225352113,0.9424083769633508,0.5
92270,0.963,0.8343949044585988,0.9225352112676056,0.5
93270,0.951,0.8438818565400844,0.9433962264150944,0.5
94270,0.967,0.941320293398533,0.9771573604060914,0.5
95270,0.964,0.848314606741573,0.94375,0.5
96270,0.95,0.936,0.9310344827586207,0.5
97270,0.939,0.9428044280442804,0.944547134935305,0.5
98270,0.945,0.8961748633879781,0.9507246376811594,0.5
99270,0.912,0.9333333333333333,0.8936170212765957,0.5
100270,0.963,0.949438202247191,0.9467787114845938,0.5
101270,0.922,0.8398576512455516,0.8773234200743495,0.5
102270,0.932,0.9069767441860465,0.9470198675496688,0.5
103270,0.948,0.8376068376068376,0.9333333333333333,0.5
104270,0.922,0.7625,0.8970588235294118,0.5
105270,0.931,0.8363636363636363,0.905511811023622,0.5
106270,0.92,0.9550748752079867,0.9154704944178629,0.5
107270,0.924,0.6972972972972973,0.8657718120805369,0.5
108270,0.944,0.7945205479452054,0.9405405405405406,0.5
109270,0.914,0.9546351084812623,0.8848263254113345,0.5
110270,0.929,0.9254385964912281,0.9193899782135077,0.5
111270,0.892,0.946360153256705,0.8606271777003485,0.5
112270,0.908,0.9212598425196851,0.9,0.5
113270,0.927,0.937246963562753,0.9168316831683169,0.5
114270,0.896,0.8937329700272479,0.8346055979643766,0.5
115270,0.91,0.9517625231910947,0.8890814558058926,0.5
116270,0.901,0.8705583756345178,0.8772378516624041,0.5
117270,0.93,0.9329501915708812,0.9329501915708812,0.5
118270,0.942,0.9730769230769231,0.92,0.5
119270,0.933,0.9120234604105572,0.8936781609195402,0.5
120270,0.931,0.9397905759162304,0.8864197530864197,0.5
121270,0.938,0.9495192307692307,0.9059633027522935,0.5
122270,0.928,0.9202898550724637,0.8355263157894737,0.5
123270,0.919,0.9699812382739212,0.8883161512027491,0.5
124270,0.925,0.904639175257732,0.9023136246786633,0.5
125270,0.939,0.97632058287796,0.9178082191780822,0.5
126270,0.92,0.9259259259259259,0.8706467661691543,0.5
127270,0.924,0.9172413793103448,0.8364779874213837,0.5
128270,0.948,0.9420289855072463,0.9330143540669856,0.5
129270,0.926,0.9279538904899135,0.8679245283018868,0.5
130270,0.896,0.9424242424242424,0.9040697674418605,0.5
131270,0.892,0.9601181683899557,0.8891928864569083,0.5
132270,0.838,0.9338345864661655,0.8403247631935047,0.5
133270,0.89,0.9688888888888889,0.8802153432032301,0.5
134270,0.898,0.939799331103679,0.8949044585987261,0.5
135270,0.915,0.9592944369063772,0.9278215223097113,0.5
136270,0.943,0.9768934531450578,0.95125,0.5
137270,0.894,0.9667170953101362,0.8838174273858921,0.5
138270,0.904,0.9659574468085106,0.9043824701195219,0.5
139270,0.929,0.9865591397849462,0.9232704402515723,0.5
140270,0.858,0.995,0.8522483940042827,0.5
141270,0.93,0.9953161592505855,0.9279475982532751,0.5
142270,0.941,0.9922222222222222,0.944973544973545,0.5
143270,0.901,0.9904988123515439,0.9016216216216216,0.5
144270,0.933,0.9907727797001153,0.9357298474945533,0.5
145270,0.933,0.9892601431980907,0.9346110484780158,0.5
146270,0.947,0.994279176201373,0.9476553980370774,0.5
147270,0.934,0.9863481228668942,0.9413680781758957,0.5
148270,0.95,0.9897025171624714,0.9547461368653422,0.5
149270,0.925,0.9932584269662922,0.9275970619097587,0.5
150270,0.947,0.9896551724137931,0.9513812154696133,0.5
151270,0.908,0.9895591647331786,0.9113247863247863,0.5
152270,0.938,0.9919168591224018,0.9398249452954048,0.5
153270,0.952,0.9824150058616647,0.9621125143513203,0.5
154270,0.922,0.9758576874205845,0.9286577992744861,0.5
155270,0.896,0.9440860215053763,0.8491295938104448,0.5
156270,0.883,0.9640151515151515,0.8385502471169687,0.5
157270,0.938,0.9787581699346405,0.9243827160493827,0.5
158270,0.939,0.9881956155143339,0.915625,0.5
159270,0.932,0.9791332263242376,0.9172932330827067,0.5
160270,0.955,0.9903691813804173,0.9405487804878049,0.5
161270,0.956,0.9888535031847133,0.9437689969604863,0.5
162270,0.948,0.9685534591194969,0.9506172839506173,0.5
163270,0.959,0.9921630094043887,0.9461883408071748,0.5
164270,0.961,0.9936708860759493,0.947209653092006,0.5
165270,0.958,0.9868421052631579,0.9463722397476341,0.5
166270,0.962,0.9817351598173516,0.9612518628912071,0.5
167270,0.959,0.9789303079416531,0.9556962025316456,0.5
168270,0.953,0.967741935483871,0.9603658536585366,0.5
169270,0.961,0.9815950920245399,0.95952023988006,0.5
170270,0.972,0.9904458598726115,0.9658385093167702,0.5
171270,0.969,0.9848024316109423,0.968609865470852,0.5
172270,0.959,0.9752321981424149,0.9618320610687023,0.5
173270,0.959,0.9813084112149533,0.9559939301972686,0.5
174270,0.951,0.9780564263322884,0.9468892261001517,0.5
175270,0.969,0.9922839506172839,0.9611360239162929,0.5
176270,0.965,0.9921011058451816,0.9544072948328267,0.5
177270,0.959,0.9786585365853658,0.9596412556053812,0.5
178270,0.951,0.9724349157733537,0.9534534534534534,0.5
179270,0.917,0.973463687150838,0.9159001314060446,0.5
180270,0.971,0.9874411302982732,0.9676923076923077,0.5
181270,0.963,0.9953846153846154,0.9500734214390602,0.5
182270,0.96,0.9937402190923318,0.9463487332339792,0.5
183270,0.974,0.9969558599695586,0.9646539027982327,0.5
184270,0.955,0.9951534733441034,0.9361702127659575,0.5
185270,0.961,0.9965576592082617,0.939935064935065,0.5
186270,0.974,0.995334370139969,0.9653092006033183,0.5
187270,0.962,0.9921383647798742,0.9503012048192772,0.5
188270,0.952,0.9692780337941628,0.9575113808801214,0.5
189270,0.961,0.9841269841269841,0.9553158705701078,0.5
190270,0.952,0.9723435225618632,0.9583931133428981,0.5
191270,0.942,0.9652677279305355,0.9514978601997147,0.5
192270,0.859,0.9894736842105263,0.8308080808080808,0.5
193270,0.759,0.9902152641878669,0.6819407008086253,0.5
194270,0.842,0.9981884057971014,0.7782485875706214,0.5
195270,0.817,0.9896694214876033,0.7290715372907154,0.5
196270,0.849,0.9963833634719711,0.7871428571428571,0.5
197270,0.867,0.995260663507109,0.8289473684210527,0.5
198270,0.996,0.9989868287740629,0.9969666329625885,0.5
199270,0.998,1.0,0.9979859013091642,0.5
200270,0.926,0.9974779319041615,0.9165701042873696,0.5
201270,0.795,1.0,0.7518159806295399,0.5
202270,0.874,1.0,0.8212765957446808,0.5
203270,0.884,0.9966329966329966,0.8385269121813032,0.5
204270,0.88,0.9903691813804173,0.8440492476060192,0.5
205270,0.916,0.9948096885813149,0.8765243902439024,0.5
206270,0.887,0.9892857142857143,0.8381240544629349,0.5
207270,0.91,0.9963031423290203,0.8596491228070176,0.5
208270,0.85,0.9984871406959153,0.8158220024721878,0.5
209270,0.893,0.9969788519637462,0.8627450980392157,0.5
210270,0.883,0.9948805460750854,0.836441893830703,0.5
211270,0.886,0.9983471074380166,0.8423988842398884,0.5
212270,0.917,0.9984126984126984,0.8846694796061885,0.5
213270,0.913,0.9984101748807631,0.8795518207282913,0.5
214270,0.9,0.9956268221574344,0.8756410256410256,0.5
215270,0.795,0.9895615866388309,0.7032640949554896,0.5
216270,0.835,1.0,0.7934918648310388,0.5
217270,0.903,1.0,0.8637640449438202,0.5
218270,0.915,0.9906890130353817,0.869281045751634,0.5
219270,0.926,0.9961977186311787,0.8791946308724832,0.5
220270,0.918,0.9963833634719711,0.873217115689382,0.5
221270,0.923,0.9947089947089947,0.8840125391849529,0.5
222270,0.893,1.0,0.8565683646112601,0.5
223270,0.912,0.9946043165467626,0.8667711598746082,0.5
224270,0.868,0.987603305785124,0.7913907284768212,0.5
225270,0.865,0.9898580121703854,0.7896440129449838,0.5
226270,0.945,0.9910071942446043,0.9168053244592346,0.5
227270,0.903,0.9985096870342772,0.8746736292428199,0.5
228270,0.906,0.9955947136563876,0.8308823529411765,0.5
229270,0.952,0.9935760171306209,0.9115913555992141,0.5
230270,0.944,0.9898785425101214,0.9055555555555556,0.5
231270,0.946,0.988394584139265,0.9141323792486583,0.5
232270,0.914,0.9970193740685543,0.8884462151394422,0.5
233270,0.918,0.9897330595482546,0.8622540250447227,0.5
234270,0.935,0.9940357852882704,0.8896797153024911,0.5
235270,0.949,0.9899396378269618,0.9144981412639405,0.5
236270,0.936,0.9948805460750854,0.90527950310559,0.5
237270,0.949,0.9969230769230769,0.9296987087517934,0.5
238270,0.909,0.9878542510121457,0.8516579406631762,0.5
239270,0.938,0.9948805460750854,0.9080996884735203,0.5
240270,0.947,0.9924953095684803,0.9152249134948097,0.5
241270,0.937,0.9922480620155039,0.8966725043782837,0.5
242270,0.95,0.9966666666666667,0.9256965944272446,0.5
243270,0.954,0.9957894736842106,0.9148936170212766,0.5
244270,0.937,0.9917864476386037,0.8911439114391144,0.5
245270,0.945,0.9908424908424909,0.9153976311336718,0.5
246270,0.942,0.9933628318584071,0.8908730158730159,0.5
247270,0.9,0.99644128113879,0.851063829787234,0.5
248270,0.9,0.9880668257756563,0.8133595284872298,0.5
249270,0.948,0.9909502262443439,0.9012345679012346,0.5
250270,0.937,0.9881188118811881,0.8974820143884892,0.5
251270,0.939,0.9964221824686941,0.9042207792207793,0.5
252270,0.905,0.9958932238193019,0.8391003460207612,0.5
253270,0.867,0.9956043956043956,0.7756849315068494,0.5
254270,0.849,0.9914529914529915,0.7594108019639935,0.5
255270,0.854,0.9855072463768116,0.7445255474452555,0.5
256270,0.869,1.0,0.8193103448275862,0.5
257270,0.905,1.0,0.8623188405797102,0.5
258270,0.921,0.9963436928702011,0.8762057877813505,0.5
259270,0.919,0.9954545454545455,0.8938775510204081,0.5
260270,0.936,0.9984779299847792,0.9123783031988874,0.5
261270,0.926,0.9967793880837359,0.8958031837916064,0.5
262270,0.907,0.9984709480122325,0.876510067114094,0.5
263270,0.913,0.9970501474926253,0.8883048620236531,0.5
264270,0.913,0.9965870307167235,0.8729446935724963,0.5
265270,0.936,0.9921875,0.9149855907780979,0.5
266270,0.907,0.9906832298136646,0.88,0.5
267270,0.92806484295846,0.9921011058451816,0.9048991354466859,0.5
0,1.0,0.0,0.0,0.75
10,0.55,0.0,0.0,0.75
30,0.85,1.0,0.6470588235294118,0.75
70,0.8,1.0,0.5294117647058824,0.75
150,0.85,1.0,0.5636363636363636,0.75
310,0.88125,1.0,0.6724137931034483,0.75
630,0.9203125,1.0,0.7671232876712328,0.75
1270,0.915,1.0,0.7690217391304348,0.75
2270,0.946,1.0,0.8448275862068966,0.75
3270,0.951,1.0,0.8579710144927536,0.75
4270,0.958,1.0,0.8796561604584527,0.75
5270,0.972,1.0,0.9195402298850575,0.75
6270,0.973,1.0,0.9245810055865922,0.75
7270,0.977,0.9971098265895953,0.9400544959128065,0.75
8270,0.974,1.0,0.9248554913294798,0.75
9270,0.975,1.0,0.9297752808988764,0.75
